power,frequency,xhop,yhop,amp,BER
1.25,20,3, 0,0.198896250521,0.943228614338
1.25,20,-1, 3,0.087036034961,0.979627493824
1.25,20,0, -2,0.298827045986,0.879448266443
1.25,20,-2, -3,0.0520217955211,0.98398083396
1.25,20,-2, -1,0.380058066975,0.811705626635
1.25,20,1, -3,0.0688204641515,0.982353625013
1.25,20,0, -4,0.0279725624921,0.985345147581
1.25,20,1, 3,0.0894966592666,0.979517723701
1.25,20,1, 1,1.15234402869,0.27115064843
1.25,20,-3, -2,0.0992332800713,0.977652234737
1.25,20,4, -2,0.0486216920007,0.984179495207
1.25,20,3, 2,0.0810175582677,0.981026920734
1.25,20,-1, 1,1.14320380121,0.274563261507
1.25,20,2, 3,0.0595458425819,0.983210753079
1.25,20,4, -3,0.0244754534224,0.985614625063
1.25,20,0, 1,1.92360755338,0.0618816748555
1.25,20,4, 2,0.048328028379,0.984435413922
1.25,20,-3, -1,0.160914358161,0.961240738772
1.25,20,-3, 1,0.161132142538,0.960588457599
1.25,20,4, 0,0.0966423699849,0.978307408435
1.25,20,-1, -2,0.241281967641,0.919418390445
1.25,20,-1, -4,0.0271443634206,0.985496871704
1.25,20,3, 3,0.0363963406644,0.984777893125
1.25,20,4, -4,0.0151066146003,0.985918677922
1.25,20,2, -2,0.154769066192,0.962692496843
1.25,20,2, 1,0.389831805603,0.805244091359
1.25,20,-2, 0,0.653772633446,0.579566744234
1.25,20,0, 3,0.100975746716,0.977118942704
1.25,20,2, 2,0.15839300662,0.961483465379
1.25,20,-2, 2,0.156579194602,0.960335994558
1.25,20,-3, 3,0.0531349709546,0.983761092201
1.25,20,0, -1,1.92459102269,0.061491446035
1.25,20,3, -2,0.0779852888835,0.981175780707
1.25,20,-1, 2,0.241172122965,0.919652863141
1.25,20,3, 1,0.160294758758,0.960369743382
1.25,20,0, -3,0.0748987056608,0.982024870024
1.25,20,-1, -1,1.1482123843,0.272035840811
1.25,20,-2, -2,0.15950731013,0.959613339331
1.25,20,1, 2,0.239746963253,0.91810247766
1.25,20,1, -2,0.237686735684,0.92069866954
1.25,20,-3, -3,0.03886966501,0.984826012236
1.25,20,1, -4,0.0252424397044,0.985327238764
1.25,20,2, 0,0.658648750919,0.577452956844
1.25,20,-2, -4,0.0241945524798,0.985834041317
1.25,20,-1, 0,2.77965070865,0.00887868617219
1.25,20,3, -4,0.0170570894248,0.98530608522
1.25,20,2, -4,0.0190884283868,0.985769558674
1.25,20,-3, 2,0.111169838446,0.976531070916
1.25,20,-3, -4,0.0221614156157,0.985501507412
1.25,20,0, 0,7.95467655216,0
1.25,20,4, 1,0.0838297432984,0.980673474176
1.25,20,-3, 0,0.195556290899,0.94343289586
1.25,20,-1, -3,0.0741151353078,0.981453147133
1.25,20,1, 0,2.75618990434,0.00935790451912
1.25,20,2, -3,0.05122644328,0.983761911403
1.25,20,3, -1,0.151732740785,0.962924379662
1.25,20,-2, 1,0.380915754333,0.811240174598
1.25,20,4, -1,0.0805321070521,0.981199755241
1.25,20,2, -1,0.391008504143,0.802854677946
1.25,20,3, -3,0.0324836025267,0.985337892837
1.25,20,4, 3,0.027706551139,0.985448878876
1.25,20,0, 2,0.302472592848,0.875022123261
1.25,20,-2, 3,0.0661013122112,0.982377694593
1.25,21,3, 0,0.182083009136,0.941815677279
1.25,21,-1, 3,0.0802059155345,0.978401410158
1.25,21,0, -2,0.275865884878,0.879076685056
1.25,21,-2, -3,0.0476935588683,0.982744547048
1.25,21,-2, -1,0.352782311547,0.813301082979
1.25,21,1, -3,0.0631904410192,0.981258331745
1.25,21,0, -4,0.0255299128474,0.984281914647
1.25,21,1, 3,0.0820683514053,0.97854824257
1.25,21,1, 1,1.10174230742,0.261074585459
1.25,21,-3, -2,0.0920578100958,0.976225882211
1.25,21,4, -2,0.0446459404805,0.98304160935
1.25,21,3, 2,0.0755467062572,0.978655729872
1.25,21,-1, 1,1.0929415005,0.265780285539
1.25,21,2, 3,0.0551427154681,0.982016819273
1.25,21,4, -3,0.0222478006247,0.984481307995
1.25,21,0, 1,1.85747620048,0.0566092399182
1.25,21,4, 2,0.0445360211147,0.982574864839
1.25,21,-3, -1,0.145512774277,0.960748821113
1.25,21,-3, 1,0.145702195826,0.960782270756
1.25,21,4, 0,0.0890515140772,0.977151323571
1.25,21,-1, -2,0.221676838814,0.920131058118
1.25,21,-1, -4,0.0247481054504,0.98425067435
1.25,21,3, 3,0.0337063935506,0.983895163008
1.25,21,4, -4,0.0136869021644,0.984918795952
1.25,21,2, -2,0.142871524073,0.961293179578
1.25,21,2, 1,0.362223379211,0.804917603061
1.25,21,-2, 0,0.616255661957,0.577082380744
1.25,21,0, 3,0.0925807379516,0.976172918545
1.25,21,2, 2,0.145463658407,0.960466661926
1.25,21,-2, 2,0.143188460793,0.962056929813
1.25,21,-3, 3,0.048742109622,0.98260387077
1.25,21,0, -1,1.85828242985,0.0566912845179
1.25,21,3, -2,0.0717578310114,0.980251650265
1.25,21,-1, 2,0.221304238859,0.919134001613
1.25,21,3, 1,0.14759102311,0.95896897053
1.25,21,0, -3,0.0693308063349,0.980604817257
1.25,21,-1, -1,1.09787323896,0.264139515416
1.25,21,-2, -2,0.146406776966,0.95950021252
1.25,21,1, 2,0.220271084181,0.918613108363
1.25,21,1, -2,0.218427996693,0.919713638103
1.25,21,-3, -3,0.035831749364,0.983649423183
1.25,21,1, -4,0.0229107949914,0.984385597597
1.25,21,2, 0,0.620916235603,0.574171513847
1.25,21,-2, -4,0.0220361383542,0.984449524328
1.25,21,-1, 0,2.69724830937,0.00735437391989
1.25,21,3, -4,0.0154156128642,0.984798697581
1.25,21,2, -4,0.0173023451112,0.98454441169
1.25,21,-3, 2,0.101977750088,0.973938292727
1.25,21,-3, -4,0.0200242643415,0.984588204142
1.25,21,0, 0,7.82358781118,0
1.25,21,4, 1,0.0770030158077,0.979915933967
1.25,21,-3, 0,0.177377340096,0.944649047776
1.25,21,-1, -3,0.0684509745635,0.980145417322
1.25,21,1, 0,2.67341108458,0.00784217427307
1.25,21,2, -3,0.0473596166531,0.982594633818
1.25,21,3, -1,0.139488724855,0.961630318837
1.25,21,-2, 1,0.353712030327,0.810835010483
1.25,21,4, -1,0.0748384379392,0.980168418627
1.25,21,2, -1,0.36333722453,0.802614620641
1.25,21,3, -3,0.0296464442175,0.984026654084
1.25,21,4, 3,0.0254439964139,0.984227144057
1.25,21,0, 2,0.279276580014,0.876096302853
1.25,21,-2, 3,0.0609451328046,0.981112923971
1.25,22,3, 0,0.166709947189,0.94786217855
1.25,22,-1, 3,0.0737274594642,0.980675751074
1.25,22,0, -2,0.254834029222,0.883045639801
1.25,22,-2, -3,0.0435896249057,0.984315315432
1.25,22,-2, -1,0.328246036596,0.817017413042
1.25,22,1, -3,0.057818527526,0.982965208606
1.25,22,0, -4,0.0231682168028,0.985786292141
1.25,22,1, 3,0.0749879250399,0.9809722357
1.25,22,1, 1,1.05295975793,0.256222272373
1.25,22,-3, -2,0.0852826903305,0.978577317715
1.25,22,4, -2,0.0408161774382,0.984710410904
1.25,22,3, 2,0.0703569744502,0.981639039936
1.25,22,-1, 1,1.04483340379,0.260554431119
1.25,22,2, 3,0.0509889495136,0.983739308341
1.25,22,4, -3,0.0200778730422,0.985978743036
1.25,22,0, 1,1.79187739596,0.0524444508173
1.25,22,4, 2,0.0409221300585,0.98471336514
1.25,22,-3, -1,0.131910772322,0.965052249597
1.25,22,-3, 1,0.132069627653,0.96408120732
1.25,22,4, 0,0.0818785999744,0.979316191854
1.25,22,-1, -2,0.203693461953,0.922954433413
1.25,22,-1, -4,0.0224360861173,0.98591592734
1.25,22,3, 3,0.0312156880667,0.98552020582
1.25,22,4, -4,0.0123092148558,0.986071936235
1.25,22,2, -2,0.131644094892,0.965050050567
1.25,22,2, 1,0.337004120814,0.808382392419
1.25,22,-2, 0,0.581592843337,0.577941724011
1.25,22,0, 3,0.0846202764983,0.979316530126
1.25,22,2, 2,0.133348775917,0.963074936166
1.25,22,-2, 2,0.130884877919,0.963951589498
1.25,22,-3, 3,0.0445532303315,0.98442844473
1.25,22,0, -1,1.79241090381,0.0522809383504
1.25,22,3, -2,0.0658262702705,0.982129430395
1.25,22,-1, 2,0.203297748368,0.922532954901
1.25,22,3, 1,0.135751556094,0.962306462079
1.25,22,0, -3,0.064081711614,0.982887960436
1.25,22,-1, -1,1.04946959934,0.25815334218
1.25,22,-2, -2,0.134269956619,0.964182886889
1.25,22,1, 2,0.202475448992,0.925188618569
1.25,22,1, -2,0.200653898461,0.925022944566
1.25,22,-3, -3,0.0329919029631,0.985242022119
1.25,22,1, -4,0.0206657878992,0.986018182729
1.25,22,2, 0,0.585744421176,0.575235892166
1.25,22,-2, -4,0.0199548405523,0.986020194729
1.25,22,-1, 0,2.61419880161,0.00594907600854
1.25,22,3, -4,0.0138218102523,0.985954471002
1.25,22,2, -4,0.0156155878806,0.986217958482
1.25,22,-3, 2,0.0934021190419,0.97613035106
1.25,22,-3, -4,0.0179365763657,0.986189940065
1.25,22,0, 0,7.68229742636,0
1.25,22,4, 1,0.0704960281279,0.981484832759
1.25,22,-3, 0,0.161443139539,0.949098396214
1.25,22,-1, -3,0.0630442145169,0.982592488693
1.25,22,1, 0,2.59019977421,0.00646071534405
1.25,22,2, -3,0.0436685170689,0.984235791829
1.25,22,3, -1,0.128051689041,0.964727915791
1.25,22,-2, 1,0.329183492395,0.818000266685
1.25,22,4, -1,0.0694258358058,0.981037057109
1.25,22,2, -1,0.337979903371,0.809103965227
1.25,22,3, -3,0.026933457583,0.985712195223
1.25,22,4, 3,0.023315583868,0.985812917746
1.25,22,0, 2,0.258219865056,0.882188154451
1.25,22,-2, 3,0.056053335579,0.983543513983
1.25,23,3, 0,0.152011982704,0.951468728643
1.25,23,-1, 3,0.0677916061029,0.981416236975
1.25,23,0, -2,0.234814343278,0.890760104108
1.25,23,-2, -3,0.0398725077935,0.985576706091
1.25,23,-2, -1,0.305184210306,0.824199770802
1.25,23,1, -3,0.0528706452743,0.983768017507
1.25,23,0, -4,0.0209872168405,0.986389033981
1.25,23,1, 3,0.068301289991,0.981522221449
1.25,23,1, 1,1.00940860345,0.251712482146
1.25,23,-3, -2,0.0792610784504,0.979152987417
1.25,23,4, -2,0.0372588051946,0.985613993856
1.25,23,3, 2,0.0657557138863,0.981701939176
1.25,23,-1, 1,1.00174490891,0.256125007754
1.25,23,2, 3,0.0473097385287,0.984486495275
